body_part,property,pegboard_placing,button_threading,ball_tube_balancing,clapping,maraca_shaking,rice_bucket_searching,arm_rotating,maze_walking,hopping
N/A,Task Count,1,1,1,1,1,1,1,1,1
Fingers,Strength,0,0,0,0,0,0,0,0,0
Fingers,Precision,1,1,1,0,0,0,0,0,0
Fingers,Coordination,1,1,1,0,0,1,0,0,0
Hands,Strength,0,0,0,0,0,0,0,0,0
Hands,Precision,1,1,1,0,0,0,0,0,0
Hands,Coordination,1,1,1,1,1,1,0,0,0
Arms,Strength,0,0,0,0,0,0,0,0,0
Arms,Precision,1,1,1,0,0,0,0,0,0
Arms,Coordination,1,1,1,1,1,0,1,0,0
Feet,Strength,0,0,0,0,0,0,0,0,0
Feet,Precision,0,0,0,0,0,0,0,0,0
Feet,Coordination,0,0,0,0,0,0,0,1,1
Legs,Strength,0,0,0,0,0,0,0,0,1
Legs,Precision,0,0,0,0,0,0,0,0,0
Legs,Coordination,0,0,0,0,0,0,0,1,1
Torso,Strength,0,0,0,0,0,0,0,0,0
Torso,Precision,0,0,0,0,0,0,0,0,0
Torso,Coordination,0,0,0,0,0,0,0,0,0
Head/Neck,Strength,0,0,0,0,0,0,0,0,0
Head/Neck,Precision,0,0,0,0,0,0,0,0,0
Head/Neck,Coordination,0,0,0,0,0,0,0,0,0
N/A,Proprioceptive,1,1,1,1,1,1,1,1,1
N/A,Tactile (Hands),1,1,1,1,1,1,0,0,0
N/A,Tactile (Non-Hands),0,0,0,0,0,0,0,1,1
N/A,Vestibular,0,0,0,0,0,0,0,1,1
N/A,Visual,1,1,1,0,0,0,0,1,0
